,Summer_two_weeks_dpH,Summer_Full_exp_dpH,Winter_two_weeks_dpH,Winter_Full_exp_dpH,Summer_two_weeks_omega,Summer_Full_exp_omega,Winter_two_weeks_omega,Winter_Full_exp_omega
968,6.4373016e-05,0.15818167,0.03824663,0.038576126,1.6155748,2.2840655,1.6771463,1.6783829
969,6.484985e-05,0.15939903,0.04379177,0.044114113,1.6157913,2.2904797,1.6968533,1.6980766
970,6.4373016e-05,0.15495443,0.057039738,0.05734873,1.6128241,2.2646542,1.7470936,1.7482971
971,6.4373016e-05,0.14585018,0.058194637,0.058502197,1.6091703,2.216553,1.7541208,1.7553247
972,6.341934e-05,0.112772465,0.04961729,0.049930573,1.6054515,2.0600374,1.7233796,1.7245833
973,6.198883e-05,0.07771587,0.049602985,0.049912453,1.6067891,1.9082193,1.7251358,1.7263227
974,6.2942505e-05,0.062680244,0.058434486,0.05872917,1.623012,1.8639469,1.755261,1.7564149
975,6.341934e-05,0.05975151,0.060361862,0.06065607,1.6386579,1.869564,1.7638677,1.7650194
976,6.341934e-05,0.061418533,0.06191778,0.062211514,1.6478513,1.9036947,1.7680308,1.769186
977,6.2942505e-05,0.068190575,0.055487156,0.055797577,1.6581135,1.9604678,1.7411922,1.7423978
978,6.341934e-05,0.07681465,0.047558784,0.047890663,1.6563588,2.0165722,1.7139753,1.7152444
979,6.341934e-05,0.076737404,0.048214912,0.048552513,1.6541142,2.0135067,1.7178129,1.7191082
980,6.484985e-05,0.07526779,0.05330944,0.05363512,1.6555201,2.0055947,1.7341698,1.7354263
981,6.532669e-05,0.09252977,0.04829073,0.04860878,1.6585189,2.032483,1.7151142,1.7163321
982,6.580353e-05,0.09571934,0.028752804,0.029113293,1.6625551,2.0515597,1.6558496,1.657183
983,6.67572e-05,0.0994277,0.010631084,0.011069775,1.6664132,2.0729024,1.6108762,1.612453
984,6.723404e-05,0.10659838,0.007983685,0.008386135,1.6691751,2.108912,1.605652,1.6070966
985,6.723404e-05,0.1121254,0.010739803,0.011095047,1.6724962,2.138561,1.6168323,1.6181183
986,6.818771e-05,0.11683321,0.01288414,0.013201237,1.6760273,2.1650083,1.6249472,1.6261016
987,6.723404e-05,0.11991453,0.0154185295,0.01569891,1.6804152,2.1851301,1.633,1.6340204
988,6.771088e-05,0.123916626,0.021802425,0.02206707,1.684825,2.2098458,1.6556287,1.6566068
989,6.866455e-05,0.13173962,0.0222373,0.022502422,1.6880678,2.2518227,1.6590066,1.659988
990,6.866455e-05,0.14222622,0.017398834,0.017644882,1.6906239,2.3068378,1.6457977,1.6467018
991,7.009506e-05,0.1570301,0.0110936165,0.011318207,1.6932344,2.3854866,1.6311659,1.6319844
992,6.9618225e-05,0.16309547,0.005335808,0.005525589,1.6960343,2.4218817,1.6235226,1.6242117
993,6.9618225e-05,0.16216373,0.004132271,0.0042300224,1.6961522,2.417689,1.6331154,1.6334752
994,6.914139e-05,0.14800453,0.0033869743,0.0034441948,1.6956768,2.343876,1.642923,1.6431347
995,6.9618225e-05,0.13385105,0.0034313202,0.0034627914,1.7006794,2.2798805,1.6559356,1.6560531
996,6.9618225e-05,0.1237216,0.0034575462,0.0034766197,1.7083393,2.2400892,1.6547197,1.6547909
997,6.818771e-05,0.11088848,0.0037670135,0.0037736893,1.7130357,2.1844387,1.6495701,1.6495943
998,6.67572e-05,0.09354496,0.004635334,0.0046396255,1.720758,2.1130676,1.648043,1.6480628
999,6.723404e-05,0.079082966,0.0068125725,0.006820202,1.7287065,2.0566874,1.6537757,1.6538042
1000,6.580353e-05,0.07664299,0.011124611,0.011134148,1.73735,2.0559738,1.6685835,1.6686214
1001,6.67572e-05,0.07957029,0.014025688,0.014037132,1.7459577,2.0760057,1.6786237,1.6786679
1002,6.866455e-05,0.08652258,0.020343304,0.020354748,1.7568887,2.1357172,1.701807,1.7018505
1003,7.009506e-05,0.09616661,0.023648739,0.023660183,1.7639498,2.2141287,1.7138367,1.7138807
1004,7.104874e-05,0.10941744,0.02544403,0.025456429,1.1782308,1.5553824,1.7199173,1.7199665
1005,7.2956085e-05,0.14390945,0.02725935,0.027274132,1.7656679,2.4161122,1.7261697,1.7262272
1006,7.2956085e-05,0.16153479,0.03144312,0.03145933,1.7635928,2.506461,1.7417141,1.7417766
1007,7.247925e-05,0.1743288,0.035408497,0.035425186,1.7610358,2.5737631,1.7566711,1.7567388
1008,7.247925e-05,0.17170572,0.036607742,0.03662443,1.75739,2.554664,1.7614336,1.7615029
1009,7.1525574e-05,0.16090584,0.03251791,0.032536983,1.7518841,2.4876034,1.7455479,1.7456225
1010,7.05719e-05,0.15096521,0.027459145,0.027480125,1.7453779,2.4258533,1.7259083,1.7259897
1011,7.05719e-05,0.14797878,0.020544052,0.020570278,1.7405844,2.4031174,1.6992961,1.6993932
1012,7.05719e-05,0.14565897,0.014545441,0.014576435,1.7392975,2.3894017,1.6765751,1.6766934
1013,7.05719e-05,0.14820862,0.011390209,0.011428833,1.7385949,2.401582,1.6644644,1.664609
1014,7.05719e-05,0.15224934,0.011187077,0.011229038,1.7383467,2.4221756,1.6633548,1.6635097
1015,7.05719e-05,0.15518284,0.013532639,0.013577938,1.7384148,2.4379785,1.6718812,1.6720495
1016,7.009506e-05,0.16127014,0.020784378,0.020829678,1.7387499,2.4710276,1.6985801,1.6987501
1017,7.009506e-05,0.16664505,0.024301052,0.024344444,1.7393728,2.5010853,1.7114629,1.711629
1018,7.009506e-05,0.15069628,0.019003391,0.01903963,1.7434438,2.42204,1.6912004,1.6913384
1019,6.6280365e-05,0.08075476,0.014740467,0.014767647,1.7427515,2.0804834,1.6760826,1.6761872
1020,6.532669e-05,0.05258608,0.012142181,0.012162209,1.7529377,1.9678087,1.6690859,1.6691613
1021,6.4373016e-05,0.049072266,0.008027554,0.008040905,1.7661747,1.9674114,1.6581064,1.6581556
1022,6.484985e-05,0.049850464,0.0056118965,0.005622864,1.773642,1.9790158,1.653186,1.6532272
1023,6.532669e-05,0.050857544,0.0049653053,0.004974842,1.7814313,1.99204,1.6545721,1.6546055
1024,6.484985e-05,0.051552296,0.005949974,0.00595665,1.7880725,2.0024621,1.6608046,1.6608315
1025,6.484985e-05,0.051835537,0.009088993,0.009095192,1.7857572,2.001073,1.6723007,1.6723245
1026,6.484985e-05,0.052004337,0.014523506,0.014529705,1.7762836,1.9891723,1.6918898,1.6919127
1027,5.7697296e-05,0.055466175,0.018129826,0.018134594,1.6331296,1.8504366,1.7048098,1.7048272
1028,5.531311e-05,0.0628376,0.019246578,0.0192523,1.5424389,1.7917906,1.7081951,1.708219
1029,4.863739e-05,0.07557869,0.01978445,0.019794941,1.5208825,1.7978252,1.7087101,1.7087526
1030,4.9591064e-05,0.08421564,0.020863533,0.020878792,1.5210825,1.8325315,1.7115186,1.7115787
1031,5.00679e-05,0.09546089,0.028838158,0.028858185,1.5188652,1.8756379,1.7421346,1.7422088
1032,5.1498413e-05,0.102629185,0.046864033,0.046892643,1.5124897,1.8974696,1.813003,1.8131193
1033,5.1498413e-05,0.107774734,0.050108433,0.050135136,1.5053192,1.9101123,1.8228475,1.8229517
1034,5.1021576e-05,0.11439705,0.053534985,0.053560257,1.5026067,1.9349561,1.8360208,1.8361244
1035,5.1498413e-05,0.12487793,0.043481827,0.043506622,1.5047493,1.9830532,1.7962571,1.7963573
1036,5.197525e-05,0.13931227,0.031232357,0.031258583,1.51084,2.0546987,1.7489138,1.7490162
1037,5.2928925e-05,0.15591097,0.024133682,0.024160862,1.5219313,2.145445,1.7219038,1.7220093
1038,5.340576e-05,0.16946602,0.021993637,0.022023678,1.5343542,2.2269542,1.7133013,1.713417
1039,5.4359436e-05,0.18260193,0.024114132,0.02414465,1.548131,2.3112402,1.721505,1.7216243
1040,5.4836273e-05,0.1907835,0.030080318,0.030110836,1.560927,2.3716815,1.7444929,1.7446108
1041,5.531311e-05,0.1944108,0.030078888,0.030107498,1.5726894,2.4081392,1.7447778,1.7448889
1042,5.6743622e-05,0.19808674,0.022658825,0.02268076,1.5824674,2.4417102,1.7160689,1.7161566
1043,5.6743622e-05,0.19359922,0.012907028,0.01292181,1.5862802,2.423616,1.6791779,1.6792336
1044,5.531311e-05,0.15447378,0.006263733,0.006277561,1.5709854,2.2109172,1.6527508,1.6528033
1045,5.2928925e-05,0.056859016,0.0038175583,0.0038294792,1.5070286,1.7099417,1.6404877,1.6405306
1046,5.340576e-05,0.037677765,0.0029549599,0.0029644966,1.5095111,1.6413788,1.6325768,1.6326097
1047,5.2452087e-05,0.04597187,0.0030288696,0.0030341148,1.5186116,1.6818695,1.6234881,1.6235088
1048,5.2928925e-05,0.05699539,0.0037240982,0.003727913,1.5331405,1.7397536,1.6163435,1.6163601
1049,5.2452087e-05,0.06767893,0.005250454,0.0052547455,1.548956,1.799509,1.6159073,1.615925
1050,5.197525e-05,0.09782839,0.008756161,0.008760929,1.550528,1.9248753,1.627046,1.6270663
1051,5.2452087e-05,0.11427164,0.029951572,0.029956818,1.5503801,1.9955646,1.6960574,1.6960756
1052,5.2928925e-05,0.12060499,0.028233528,0.028241158,1.0360144,1.3693724,1.6956068,1.6956345
1053,5.38826e-05,0.14139557,0.011639595,0.011649132,1.5581255,2.1275575,1.641981,1.6420159
1054,5.4836273e-05,0.15686035,0.010944366,0.0109529495,1.560855,2.2047536,1.6357301,1.635765
1055,5.5789948e-05,0.16584063,0.011410236,0.011419773,1.5656344,2.2581065,1.6319612,1.6319958
1056,5.6743622e-05,0.16146612,0.011820316,0.011829853,1.5714782,2.2479217,1.6298832,1.62992
1057,5.722046e-05,0.15240908,0.012557507,0.012568951,1.5766529,2.2124996,1.6321712,1.6322136
